,source,target,weight
1,Albiano,Bagni di Lucca,18
2,Albiano,Borgo a Mozzano,18
3,Albiano,Camporgiano,17
4,Albiano,Castelnuovo di Garfagnana,17
6,Albiano,Castiglione di Garfagnana,5
13,Albiano,Fosciandora,17
14,Albiano,Gallicano,18
18,Albiano,Lucca,18
19,Albiano,Molazzana,10
26,Albiano,Piazza al Serchio,17
32,Albiano,San Romano in Garfagnana,17
35,Antisciana,Bagni di Lucca,14
36,Antisciana,Borgo a Mozzano,15
37,Antisciana,Camporgiano,15
38,Antisciana,Castelnuovo di Garfagnana,21
44,Antisciana,Fosciandora,19
45,Antisciana,Gallicano,15
49,Antisciana,Lucca,14
50,Antisciana,Molazzana,15
57,Antisciana,Piazza al Serchio,15
62,Antisciana,San Romano in Garfagnana,17
195,Castelvecchio Pascoli,Bagni di Lucca,20
196,Castelvecchio Pascoli,Borgo a Mozzano,21
197,Castelvecchio Pascoli,Camporgiano,21
198,Castelvecchio Pascoli,Castelnuovo di Garfagnana,21
199,Castelvecchio Pascoli,Castiglione di Garfagnana,6
206,Castelvecchio Pascoli,Fosciandora,21
207,Castelvecchio Pascoli,Gallicano,23
211,Castelvecchio Pascoli,Lucca,18
212,Castelvecchio Pascoli,Molazzana,15
219,Castelvecchio Pascoli,Piazza al Serchio,21
224,Castelvecchio Pascoli,San Romano in Garfagnana,21
227,Cerretoli,Bagni di Lucca,14
228,Cerretoli,Borgo a Mozzano,19
229,Cerretoli,Camporgiano,15
230,Cerretoli,Castelnuovo di Garfagnana,21
232,Cerretoli,Castiglione di Garfagnana,5
238,Cerretoli,Fosciandora,19
239,Cerretoli,Gallicano,15
242,Cerretoli,Lucca,14
243,Cerretoli,Molazzana,15
250,Cerretoli,Piazza al Serchio,17
255,Cerretoli,San Romano in Garfagnana,17
257,Cerretoli,Villa Collemandina,5
259,Colle,Bagni di Lucca,14
260,Colle,Borgo a Mozzano,19
261,Colle,Camporgiano,15
262,Colle,Castelnuovo di Garfagnana,21
264,Colle,Castiglione di Garfagnana,5
270,Colle,Fosciandora,19
271,Colle,Gallicano,15
274,Colle,Lucca,14
275,Colle,Molazzana,15
282,Colle,Piazza al Serchio,17
287,Colle,San Romano in Garfagnana,17
289,Colle,Villa Collemandina,5
292,Colognola,Bagni di Lucca,20
293,Colognola,Borgo a Mozzano,21
294,Colognola,Camporgiano,21
295,Colognola,Castelnuovo di Garfagnana,21
302,Colognola,Fosciandora,21
303,Colognola,Gallicano,21
307,Colognola,Lucca,19
308,Colognola,Molazzana,15
315,Colognola,Piazza al Serchio,23
320,Colognola,San Romano in Garfagnana,21
322,Colognola,Villa Collemandina,6
325,Cortia,Bagni di Lucca,20
326,Cortia,Borgo a Mozzano,21
327,Cortia,Camporgiano,21
328,Cortia,Castelnuovo di Garfagnana,21
333,Cortia,Fabbriche di Vergemoli,1
336,Cortia,Fosciandora,21
337,Cortia,Gallicano,21
341,Cortia,Lucca,19
342,Cortia,Molazzana,15
347,Cortia,Pescaglia,1
350,Cortia,Piazza al Serchio,24
355,Cortia,San Romano in Garfagnana,20
357,Cortia,Villa Collemandina,5
360,Filecchio,Bagni di Lucca,18
361,Filecchio,Barga,5
362,Filecchio,Borgo a Mozzano,18
363,Filecchio,Camporgiano,20
364,Filecchio,Castelnuovo di Garfagnana,20
371,Filecchio,Fosciandora,18
372,Filecchio,Gallicano,20
375,Filecchio,Lucca,18
376,Filecchio,Molazzana,10
383,Filecchio,Piazza al Serchio,20
388,Filecchio,San Romano in Garfagnana,20
392,Fornaci di Barga,Bagni di Lucca,19
393,Fornaci di Barga,Borgo a Mozzano,21
394,Fornaci di Barga,Camporgiano,21
395,Fornaci di Barga,Castelnuovo di Garfagnana,21
402,Fornaci di Barga,Fosciandora,20
403,Fornaci di Barga,Gallicano,21
407,Fornaci di Barga,Lucca,19
408,Fornaci di Barga,Molazzana,17
415,Fornaci di Barga,Piazza al Serchio,21
420,Fornaci di Barga,San Romano in Garfagnana,21
491,Gragnana,Bagni di Lucca,20
492,Gragnana,Borgo a Mozzano,20
493,Gragnana,Camporgiano,20
494,Gragnana,Castelnuovo di Garfagnana,20
501,Gragnana,Fosciandora,20
502,Gragnana,Gallicano,20
505,Gragnana,Lucca,19
506,Gragnana,Molazzana,15
513,Gragnana,Piazza al Serchio,24
518,Gragnana,San Romano in Garfagnana,20
520,Gragnana,Villa Collemandina,5
523,Gragnanella,Bagni di Lucca,14
